,Date,Pattern,Time
241,25 November 2021,Light, 01:35-01:45
242,25 November 2021,Deep, 01:45-03:30
243,25 November 2021,Light, 03:30-03:42
244,25 November 2021,REM, 03:42-03:55
245,25 November 2021,Light, 03:55-04:23
246,25 November 2021,Deep, 04:23-04:51
247,25 November 2021,Light, 04:51-05:36
248,25 November 2021,REM, 05:36-06:15
249,25 November 2021,Light, 06:15-07:18
250,25 November 2021,Awake, 07:18-07:27
251,24 November 2021,Awake, 23:49-01:01
252,24 November 2021,Light, 01:01-01:18
253,24 November 2021,Deep, 01:18-02:27
254,24 November 2021,Light, 02:27-02:36
255,24 November 2021,Deep, 02:36-03:38
256,24 November 2021,Light, 03:38-03:50
257,24 November 2021,REM, 03:50-04:03
258,24 November 2021,Light, 04:03-04:19
259,24 November 2021,Deep, 04:19-04:47
260,24 November 2021,Light, 04:47-04:57
261,24 November 2021,Deep, 04:57-05:05
262,24 November 2021,Awake, 05:05-05:11
263,24 November 2021,Light, 05:11-05:20
264,24 November 2021,REM, 05:20-06:02
265,24 November 2021,Light, 06:02-06:55
266,24 November 2021,REM, 06:55-07:55
267,23 November 2021,Awake, 23:35-00:44
268,23 November 2021,Light, 00:44-00:50
269,23 November 2021,Awake, 00:50-00:57
270,23 November 2021,Light, 00:57-01:18
271,23 November 2021,Deep, 01:18-01:33
272,23 November 2021,Light, 01:33-01:43
273,23 November 2021,Deep, 01:43-02:19
274,23 November 2021,Light, 02:19-03:10
275,23 November 2021,Deep, 03:10-03:44
276,23 November 2021,Light, 03:44-04:09
277,23 November 2021,Deep, 04:09-04:21
278,23 November 2021,Awake, 04:21-04:28
279,23 November 2021,Light, 04:28-04:38
280,23 November 2021,REM, 04:38-05:15
281,23 November 2021,Light, 05:15-06:41
282,23 November 2021,REM, 06:41-07:23
283,23 November 2021,Light, 07:23-07:55
284,22 November 2021,Awake, 23:32-23:43
285,22 November 2021,Light, 23:43-23:49
286,22 November 2021,Light, 23:43-23:49
287,22 November 2021,Awake, 23:52-00:12
288,22 November 2021,Light, 00:12-00:41
289,22 November 2021,Deep, 00:41-00:50
290,22 November 2021,Deep, 00:41-00:50
291,22 November 2021,Deep, 00:41-00:50
292,22 November 2021,Light, 00:55-01:08
293,22 November 2021,Deep, 01:08-01:52
294,22 November 2021,REM, 01:52-02:01
295,22 November 2021,Light, 02:01-02:18
296,22 November 2021,Deep, 02:18-03:01
297,22 November 2021,Light, 03:01-03:11
298,22 November 2021,REM, 03:11-03:49
299,22 November 2021,Light, 03:49-04:07
300,22 November 2021,Deep, 04:07-04:17
301,22 November 2021,Light, 04:17-04:55
302,22 November 2021,Awake, 04:55-05:02
303,22 November 2021,Light, 05:02-05:25
304,22 November 2021,REM, 05:25-06:07
305,22 November 2021,Light, 06:07-07:07
306,22 November 2021,Awake, 07:07-07:14
307,22 November 2021,Light, 07:14-07:45
308,22 November 2021,Awake, 07:45-07:51
309,22 November 2021,Light, 07:51-08:10
310,21 November 2021,Awake, 00:27-01:08
311,21 November 2021,Light, 01:08-01:21
312,21 November 2021,Deep, 01:21-02:26
313,21 November 2021,Light, 02:26-03:09
314,21 November 2021,Deep, 03:09-04:00
315,21 November 2021,REM, 04:00-04:16
316,21 November 2021,REM, 04:00-04:16
317,21 November 2021,Awake, 04:19-04:26
318,21 November 2021,Light, 04:26-05:28
319,21 November 2021,REM, 05:28-05:54
320,21 November 2021,Light, 05:54-06:47
321,21 November 2021,Deep, 06:47-06:58
322,21 November 2021,Light, 06:58-07:12
323,21 November 2021,REM, 07:12-07:23
324,21 November 2021,Light, 07:23-07:37
325,21 November 2021,REM, 07:37-07:50
326,21 November 2021,Light, 07:50-08:16
327,21 November 2021,Awake, 08:16-08:39
328,20 November 2021,Awake, 00:13-00:33
329,20 November 2021,Light, 00:33-00:46
330,20 November 2021,Deep, 00:46-01:31
331,20 November 2021,Light, 01:31-02:01
332,20 November 2021,Deep, 02:01-03:08
333,20 November 2021,REM, 03:08-03:53
334,20 November 2021,Light, 03:53-04:12
335,20 November 2021,Deep, 04:12-04:36
336,20 November 2021,Light, 04:36-04:55
337,20 November 2021,Awake, 04:55-05:03
338,20 November 2021,Light, 05:03-05:15
339,20 November 2021,REM, 05:15-05:48
340,20 November 2021,Light, 05:48-06:21
341,20 November 2021,Deep, 06:21-06:56
342,20 November 2021,REM, 06:56-07:31
343,20 November 2021,Light, 07:31-08:10
344,19 November 2021,Awake, 00:24-00:59
345,19 November 2021,REM, 00:59-01:00
346,19 November 2021,Light, 01:00-01:14
347,19 November 2021,Deep, 01:14-02:34
348,19 November 2021,Light, 02:34-03:09
349,19 November 2021,Deep, 03:09-03:50
350,19 November 2021,Light, 03:50-04:00
351,19 November 2021,REM, 04:00-04:31
352,19 November 2021,Light, 04:31-05:03
353,19 November 2021,Deep, 05:03-05:34
354,19 November 2021,Light, 05:34-06:15
355,19 November 2021,Light, 05:34-06:15
356,19 November 2021,Light, 06:18-07:37
357,19 November 2021,Deep, 07:37-07:50
358,18 November 2021,Awake, 01:34-01:39
359,18 November 2021,Light, 01:39-01:56
360,18 November 2021,Deep, 01:56-02:44
361,18 November 2021,REM, 02:44-02:56
362,18 November 2021,Deep, 02:56-03:55
363,18 November 2021,Light, 03:55-04:08
364,18 November 2021,REM, 04:08-04:29
365,18 November 2021,Deep, 04:29-05:14
366,18 November 2021,Light, 05:14-05:25
367,18 November 2021,REM, 05:25-06:05
368,18 November 2021,Light, 06:05-06:58
369,18 November 2021,REM, 06:58-07:30
370,18 November 2021,Light, 07:30-07:51
371,18 November 2021,REM, 07:51-08:02
372,17 November 2021,Awake, 22:52-23:55
373,17 November 2021,Light, 23:55-00:05
374,17 November 2021,Deep, 00:05-01:01
375,17 November 2021,Light, 01:01-01:27
376,17 November 2021,Deep, 01:27-01:43
377,17 November 2021,Light, 01:43-01:58
378,17 November 2021,Deep, 01:58-02:23
379,17 November 2021,REM, 02:23-02:48
380,17 November 2021,Light, 02:48-03:25
381,17 November 2021,Deep, 03:25-03:39
382,17 November 2021,Awake, 03:39-03:46
383,17 November 2021,Light, 03:46-04:14
384,17 November 2021,REM, 04:14-05:14
385,17 November 2021,Light, 05:14-05:36
386,17 November 2021,Deep, 05:36-06:05
387,17 November 2021,Awake, 06:05-06:17
388,17 November 2021,Light, 06:17-06:22
389,17 November 2021,REM, 06:22-06:58
390,17 November 2021,Awake, 06:58-07:11
391,16 November 2021,Awake, 01:27-01:48
392,16 November 2021,Light, 01:48-01:57
393,16 November 2021,Deep, 01:57-02:45
394,16 November 2021,REM, 02:45-02:54
395,16 November 2021,Deep, 02:54-03:28
396,16 November 2021,Light, 03:28-03:41
397,16 November 2021,Deep, 03:41-03:57
398,16 November 2021,Light, 03:57-04:22
399,16 November 2021,REM, 04:22-04:58
400,16 November 2021,Light, 04:58-05:44
401,16 November 2021,Deep, 05:44-06:00
402,16 November 2021,Light, 06:00-06:17
403,16 November 2021,REM, 06:17-07:14
404,16 November 2021,Light, 07:14-07:50
405,15 November 2021,Awake, 23:38-00:30
406,15 November 2021,Light, 00:30-00:41
407,15 November 2021,Deep, 00:41-01:34
408,15 November 2021,Light, 01:34-01:44
409,15 November 2021,Deep, 01:44-02:29
410,15 November 2021,Light, 02:29-02:48
411,15 November 2021,REM, 02:48-03:08
412,15 November 2021,Light, 03:08-03:30
413,15 November 2021,Deep, 03:30-03:40
414,15 November 2021,Light, 03:40-03:58
415,15 November 2021,Deep, 03:58-04:10
416,15 November 2021,Light, 04:10-04:17
417,15 November 2021,Awake, 04:17-04:38
418,15 November 2021,Light, 04:38-04:42
419,15 November 2021,REM, 04:42-04:52
420,15 November 2021,Awake, 04:52-05:07
421,15 November 2021,REM, 05:07-05:17
422,15 November 2021,Light, 05:17-06:40
423,15 November 2021,REM, 06:40-07:08
424,15 November 2021,Awake, 07:08-07:14
425,15 November 2021,Light, 07:14-08:04
426,14 November 2021,Awake, 00:14-01:02
427,14 November 2021,Light, 01:02-01:17
428,14 November 2021,Deep, 01:17-01:41
429,14 November 2021,Deep, 01:17-01:41
430,14 November 2021,Deep, 01:43-01:45
431,14 November 2021,Light, 01:45-02:37
432,14 November 2021,Deep, 02:37-03:39
433,14 November 2021,Light, 03:39-03:51
434,14 November 2021,REM, 03:51-04:14
435,14 November 2021,Light, 04:14-04:30
436,14 November 2021,Deep, 04:30-04:40
437,14 November 2021,Light, 04:40-05:02
438,14 November 2021,Deep, 05:02-05:16
439,14 November 2021,Awake, 05:16-05:23
440,14 November 2021,Light, 05:23-05:33
441,14 November 2021,REM, 05:33-06:04
442,14 November 2021,Light, 06:04-06:42
443,14 November 2021,Deep, 06:42-06:53
444,14 November 2021,Light, 06:53-07:13
445,14 November 2021,REM, 07:13-07:37
446,14 November 2021,Light, 07:37-07:50
